Ordre d'Arrivée;Numéro d'équipe;Unité;Nom d'Equipe;Temps
1;1;;;23'24
2;73;;;23'58
3;28;;;24'01
4;97;;;25'22
5;25;;;25'28
6;2;;;25'39
7;27;;;25'53
8;13;;;26'15
9;95;;;26'15
10;45;;;26'18
11;11;;;26'18
12;5;;;26'23
13;14;;;26'32
14;41;;;26'40
15;81;;;26'52
16;36;;;26'56
17;46;;;27'06
18;30;;;27'11
19;82;;;27'12
20;85;;;27'16
21;102;;;27'18
22;61;;;27'19
23;103;;;27'21
24;69;;;27'23
25;40;;;27'26
26;32;;;27'28
27;42;;;27'42
28;101;;;27'45
29;38;;;27'50
30;12;;;27'51
31;57;;;27'53
32;17;;;27'54
33;63;;;27'57
34;96;;;27'58
35;83;;;28'06
36;49;;;28'12
37;16;;;28'17
38;93;;;28'26
39;71;;;28'27
40;26;;;28'30
41;64;;;28'31
42;54;;;28'38
43;8;;;28'41
44;88;;;28'47
45;91;;;28'57
46;39;;;28'58
47;21;;;28'59
48;58;;;29'02
49;4;;;29'07
50;65;;;29'11
51;52;;Rapidi-tésé;29'13
52;59;;;29'22
53;48;;;29'24
54;56;;;29'30
55;75;;;29'31
56;92;;;29'32
57;50;;;29'34
58;74;;;29'40
59;66;;;29'46
60;84;;;29'54
61;55;;;29'57
62;60;;;29'59
63;100;;;30'00
64;94;;;30'06
65;23;;;30'08
66;20;;;30'12
67;77;;;30'32
68;37;;;30'33
69;70;;;30'34
70;79;;;30'40
71;80;;;30'52
72;6;;;30'58
73;86;;;31'01
74;15;;;31'04
75;35;;;31'07
76;34;;;31'17
77;105;;;31'19
78;68;;;31'20
79;89;;;31'28
80;104;;;31'29
81;10;;;31'33
82;53;;;31'40
83;31;;;31'41
84;33;;;31'51
85;7;;;31'59
86;9;;;32'06
87;99;;;32'09
88;18;;;32'15
89;67;;;32'15
90;98;;;32'16
91;24;;;32'19
92;51;;;32'37
93;47;;;33'14
94;62;;;33'18
95;76;;;34'00
96;44;;;34'05
97;29;;;34'15
98;78;;;34'16
99;72;;;35'32
100;22;;;36'09
101;90;;;37'06
